production_budget,worldwide_gross,title_year,aspect_ratio,duration.1,cast_total_facebook_likes,imdb_score
95000000,159691085,2001,2.35,152,4270,7.7
95000000,223050874,2010,2.35,118,14024,5.9
95000000,169511609,2010,2.35,98,25780,6.8
95000000,263900000,1997,2.35,126,39319,7.7
95000000,65700000,2000,1.85,89,3372,6.9
95000000,94894448,2009,2.35,135,2370,6.7
95000000,94894448,2009,2.35,135,2369,6.7
95000000,110623265,2014,2.35,102,17098,5.5
94000000,936429370,2003,1.85,100,5641,8.2
94000000,1141408667,2003,2.35,192,6434,8.9
94000000,934703179,2002,2.35,172,23052,8.7
94000000,273330185,2001,2.35,100,12150,5.7
93000000,365900000,2001,1.85,92,2574,5.9
93000000,482860185,2011,2.35,105,13118,7.6
92500000,162839667,2008,2.35,107,1614,6.6
92000000,614726752,2004,2.35,115,1901,8
92000000,304249198,2013,1.85,101,15481,5.3
92000000,18517322,1995,2.35,124,3611,5.6
91000000,188536838,2013,2.35,114,5095,7.3
90000000,587790539,1997,1.85,98,12998,7.3
90000000,511358276,1999,1.85,82,21275,7.9
90000000,347425832,2001,2.35,90,664,6.6
90000000,498438212,2009,1.85,128,23996,7.6
90000000,859701857,2009,1.85,94,1258,7
90000000,288693989,2000,2.35,130,12890,6.6
90000000,487519809,2011,2.35,96,12071,7
90000000,289660619,2006,2.35,151,45648,8.5
90000000,259736090,2000,2.35,94,15419,5.5
90000000,303500000,1998,1.66,88,4478,7.5
90000000,191091250,2008,2.35,121,23484,7
90000000,239373970,2011,2.35,158,20388,7.8
90000000,165900000,1997,2.35,150,12289,7.4
90000000,202910991,2008,1.85,113,13446,5.5
90000000,366101666,1995,2.35,128,14274,7.6
90000000,235296080,2015,1.85,92,38450,5
90000000,186049020,2001,2.35,95,15237,6.8
90000000,203902107,2008,1.85,121,14165,7.1
90000000,244126300,2015,2.35,106,35367,5.6
90000000,235900000,2001,1.85,146,6217,7.1
90000000,155750628,2003,2.35,88,2622,4.9
90000000,191200000,2000,1.85,119,2356,5.7
90000000,162753837,2005,2.35,128,2100,6.4
90000000,200859554,2013,2.35,106,10882,5.9
90000000,157092943,2003,2.35,117,33154,5.5
90000000,313404841,2016,2.35,129,23031,6.9
90000000,143049560,2001,2.35,114,12499,7
90000000,169400000,1997,2.35,116,475,6.2
90000000,106000000,2000,2.35,114,4902,5.6
90000000,87420776,1999,1.85,132,55254,6.8
90000000,120100000,1997,1.85,104,5062,5.4
90000000,140900000,1997,2.35,111,26088,6.1
90000000,65716126,2002,2.35,138,15149,6.7
90000000,139877913,2011,2.35,110,27694,5.8
90000000,20466016,2010,2.35,110,2728,4.4
88000000,105021488,2005,2.35,144,2523,8
86000000,148715342,2003,2.35,140,13808,7.3
85000000,427230516,2000,1.85,143,15838,7.7
85000000,450728529,2001,2.35,116,13028,7.8
85000000,288587450,2004,2.35,108,14161,7.8
85000000,315268353,1997,2.35,124,23603,6.4
85000000,276014965,2014,2.35,139,22226,6.7
85000000,378505812,2012,1.85,91,37142,7.1
85000000,340384141,2007,2.35,107,662,7.1
85000000,208542162,2012,2.35,115,36237,6.8
85000000,311744465,2007,2.35,122,43499,6.9
85000000,224614744,2009,1.85,120,15226,6.6
